Date,Campaign name,Ad set name,Age,Gender,Amount spent (USD),country,audience description,Total investment,Ad revenue
2018-07-28,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.08,CA,"Lookalike (CA, 2%) - rainfactoryS71C",3.42,0.0
2018-07-29,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.12,CA,"Lookalike (CA, 2%) - rainfactoryS71C",3.54,0.0
2018-07-30,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.11,CA,"Lookalike (CA, 2%) - rainfactoryS71C",3.65,0.0
2018-07-31,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.22,CA,"Lookalike (CA, 2%) - rainfactoryS71C",3.87,0.0
2018-08-01,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.54,CA,"Lookalike (CA, 2%) - rainfactoryS71C",4.41,0.0
2018-08-02,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.25,CA,"Lookalike (CA, 2%) - rainfactoryS71C",4.66,0.0
2018-08-03,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.44,CA,"Lookalike (CA, 2%) - rainfactoryS71C",5.1000000000000005,12300.002
2018-08-04,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.54,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.0,0.0
2018-08-05,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.25,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.0,0.0
2018-08-06,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.17,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.0,5899.9996
2018-08-07,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",18-24,female,0.07,CA,"Lookalike (CA, 2%) - rainfactoryS71C",0.0,0.0
2018-07-13,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.0,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.0,0.0
2018-07-14,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.01,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.01,0.0
2018-07-15,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.0,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.01,0.0
2018-07-16,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",18-24,female,0.0,GB,"Lookalike (GB, 2%) - rainfactoryP22C",0.01,0.0
